id_bien;code_com_dep_5;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Surface terrain;Type local
1;1350;190;A;RUE;CENTRALE;2;50.42;52;;Appartement
2;1103;347;;RUE;DU CHATEAU;3;48.22;48;;Appartement
3;1143;58;;AV;DU MONT BLANC;6;130.8;130;;Appartement
4;1288;140;;RUE;DE L'ABBE JOLIVET;5;109.22;109;;Maison
5;1033;39;;RUE;BUFFON;4;108.65;91;;Appartement
6;1138;28;;AV;JEAN FALCONNIER;2;31.65;32;;Appartement
7;1354;8;;RUE;DE GENEVE;2;52.58;52;;Appartement
8;1354;2;;RUE;DU RECULET;2;58.71;60;;Appartement
9;1143;1403;;RUE;JEAN DE GINGINS;4;93.23;96;;Maison
10;1354;226;;ALL;DES CAPUCINES;5;117;117;;Maison
11;1288;276;;RTE;DE POUGNY;2;35.6;36;;Appartement
12;1283;79;;CRS;DE VERDUN;5;138.03;137;;Appartement
13;1357;77;B;RUE;DU COMMERCE;2;42;43;;Appartement
14;1173;240;;RUE;DE PRE BAILLY;2;45.36;45;;Appartement
15;1033;3;;RUE;TURENNE;4;82.6;84;;Appartement
16;1143;44;;ALL;DU SQUARE DE LAUSANNE;4;88.11;88;;Appartement
17;1004;59;;RUE;ALEXANDRE BERARD;6;164.87;143;;Appartement
18;1071;282;;CHE;DES LONGES RAYES;2;42.2;42;;Appartement
19;1396;54;;GR;GRANDE RUE;3;68.11;65;;Appartement
20;1160;1;;RUE;DE GEX;3;82.59;75;;Appartement
21;1103;17;;LOT;LES JARDINS DE CHEVRY;1;30.23;30;;Appartement
22;1399;329;;RUE;DES CARPIERES;1;24.8;25;;Appartement
23;1202;369;;AV;CHARLES DE GAULLE;2;52.6;52;;Appartement
24;1204;154;;RUE;SUR LA VIGNETTE;3;91.69;88;;Appartement
25;1173;6;;RUE;DES USINIERS;1;45.54;45;;Appartement
26;1354;2;;RUE;DU JURA;3;84.24;83;;Appartement
27;1004;54;;RUE;MARCEL DEMIA;3;68.23;68;;Appartement
28;1034;269;;CHE;DE CHARIGNIN;3;62.03;64;;Appartement
29;1281;322;;RUE;DE BRETIGNY;4;112.93;109;;Maison
30;1354;132;;ALL;DES HETRES;4;131.91;133;;Appartement
31;1160;80;;RUE;DE MEYRIN;3;63.58;63;;Appartement
32;1138;4;;RUE;DE LA MAIRIE;3;35.86;50;;Appartement
33;1202;79;;GR;GRANDE RUE DE BULLIEZ;3;70.09;74;;Appartement
34;1148;8;;RUE;DE LA BIENNE;4;200;121;;Appartement
35;1004;29;;RUE;REINE CLOTILDE;2;54.84;62;;Appartement
36;1034;3;;RUE;STE MARIE;4;72.75;73;;Appartement
37;1202;956;;RTE;DE BOURG;2;94.09;88;;Maison
