cod_dep_com_5;CODDEP;nom_commune_maj;code_postal;Population totale
01001;01;L'ABERGEMENT-CLEMENCIAT;;798
01002;01;L'ABERGEMENT-DE-VAREY;;257
01004;01;AMBERIEU-EN-BUGEY;01500;14514
01005;01;AMBERIEUX-EN-DOMBES;;1776
01006;01;AMBLEON;;118
01007;01;AMBRONAY;;2915
01008;01;AMBUTRIX;;777
01009;01;ANDERT-ET-CONDON;;335
01010;01;ANGLEFORT;;1122
01011;01;APREMONT;;379
01012;01;ARANC;;333
01013;01;ARANDAS;;147
01014;01;ARBENT;01100;3442
01015;01;ARBOYS-EN-BUGEY;;667
01016;01;ARBIGNY;;469
01017;01;ARGIS;;473
01019;01;ARMIX;;31
01021;01;ARS-SUR-FORMANS;;1485
01022;01;ARTEMARE;;1267
01023;01;ASNIERES-SUR-SAONE;;76
01024;01;ATTIGNAT;;3316
01025;01;BAGE-DOMMARTIN;;4171
01026;01;BAGE-LE-CHATEL;;1041
01027;01;BALAN;;2615
01028;01;BANEINS;;634
01029;01;BEAUPONT;;693
01030;01;BEAUREGARD;01480;844
01031;01;BELLIGNAT;01100;3886
01032;01;BELIGNEUX;;3405
01033;01;VALSERHONE;;16728
01034;01;BELLEY;01300;9582
01035;01;BELLEYDOUX;;318
01036;01;VALROMEY-SUR-SERAN;;1345
01037;01;BENONCES;;312
01038;01;BENY;;775
01039;01;BEON;;451
01040;01;BEREZIAT;;496
01041;01;BETTANT;;769
01042;01;BEY;;305
01043;01;BEYNOST;;4867
01044;01;BILLIAT;;648
01045;01;BIRIEUX;;287
01046;01;BIZIAT;;903
01047;01;BLYES;;1214
01049;01;LA BOISSE;;3356
01050;01;BOISSEY;;369
01051;01;BOLOZON;;92
01052;01;BOULIGNEUX;;334
01053;01;BOURG-EN-BRESSE;;42853
01054;01;BOURG-SAINT-CHRISTOPHE;;1489
01056;01;BOYEUX-SAINT-JEROME;;354
01057;01;BOZ;;535
01058;01;BREGNIER-CORDON;;849
01060;01;BRENOD;01110;514
01061;01;BRENS;;1179
01062;01;BRESSOLLES;;956
01063;01;BRION;;540
01064;01;BRIORD;;1090
01065;01;BUELLAS;;1876
01066;01;LA BURBANCHE;;90
01067;01;CEIGNES;;268
01068;01;CERDON;;790
01069;01;CERTINES;;1542
01071;01;CESSY;01170;4925
01072;01;CEYZERIAT;;3256
01073;01;CEYZERIEU;;1025
01074;01;CHALAMONT;;2624
01075;01;CHALEINS;;1413
01076;01;CHALEY;;128
01077;01;CHALLES-LA-MONTAGNE;;199
01078;01;CHALLEX;;1590
01079;01;CHAMPAGNE-EN-VALROMEY;01260;842
01080;01;CHAMPDOR-CORCELLES;;657
01081;01;CHAMPFROMIER;;756
01082;01;CHANAY;;642
01083;01;CHANEINS;;944
01084;01;CHANOZ-CHATENAY;;913
01085;01;LA CHAPELLE-DU-CHATELARD;;405
01087;01;CHARIX;;292
01088;01;CHARNOZ-SUR-AIN;;930
01089;01;CHATEAU-GAILLARD;;2303
01090;01;CHATENAY;;362
01092;01;CHATILLON-LA-PALUD;;1662
01093;01;CHATILLON-SUR-CHALARONNE;;5134
01094;01;CHAVANNES-SUR-REYSSOUZE;;773
01095;01;NIVIGNE ET SURAN;;865
01096;01;CHAVEYRIAT;;1064
01098;01;CHAZEY-BONS;;1195
01099;01;CHAZEY-SUR-AIN;;1623
01100;01;CHEIGNIEU-LA-BALME;;135
01101;01;CHEVILLARD;;159
01102;01;CHEVROUX;;976
01103;01;CHEVRY;01170;2196
01104;01;CHEZERY-FORENS;;471
01105;01;CIVRIEUX;;1882
01106;01;CIZE;;186
01107;01;CLEYZIEU;;137
01108;01;COLIGNY;;1200
01109;01;COLLONGES;01550;2272
01110;01;COLOMIEU;;158
01111;01;CONAND;;133
01112;01;CONDAMINE;;462
01113;01;CONDEISSIAT;;829
01114;01;CONFORT;;679
01115;01;CONFRANCON;;1363
01116;01;CONTREVOZ;;510
01117;01;CONZIEU;;153
01118;01;CORBONOD;;1310
01121;01;CORLIER;;117
01123;01;CORMORANCHE-SUR-SAONE;;1197
01124;01;CORMOZ;;697
01125;01;CORVEISSIAT;;625
01127;01;COURMANGOUX;;516
01128;01;COURTES;;306
01129;01;CRANS;;297
01130;01;BRESSE VALLONS;;2407
01133;01;CRESSIN-ROCHEFORT;;400
01134;01;CROTTET;;1803
01135;01;CROZET;01170;2235
01136;01;CRUZILLES-LES-MEPILLAT;;913
01138;01;CULOZ;01350;3068
01139;01;CURCIAT-DONGALON;;449
01140;01;CURTAFOND;;786
01141;01;CUZIEU;;468
01142;01;DAGNEUX;01120;4834
01143;01;DIVONNE-LES-BAINS;01220;10190
01145;01;DOMPIERRE-SUR-VEYLE;;1201
01146;01;DOMPIERRE-SUR-CHALARONNE;;439
01147;01;DOMSURE;;495
01148;01;DORTAN;01590;1925
01149;01;DOUVRES;;1104
01150;01;DROM;;219
01151;01;DRUILLAT;;1173
01152;01;ECHALLON;;768
01153;01;ECHENEVEX;01170;2189
01155;01;EVOSGES;;147
01156;01;FARAMANS;;827
01157;01;FAREINS;;2292
01158;01;FARGES;01550;1065
01159;01;FEILLENS;;3436
01160;01;FERNEY-VOLTAIRE;01210;10189
01162;01;FLAXIEU;;68
01163;01;FOISSIAT;;2073
01165;01;FRANCHELEINS;;1627
01166;01;FRANS;;2484
01167;01;GARNERANS;;658
01169;01;GENOUILLEUX;;663
01170;01;BEARD-GEOVREISSIAT;;1081
01171;01;GEOVREISSET;;886
01173;01;GEX;01170;13391
01174;01;GIRON;;180
01175;01;GORREVOD;;807
01177;01;GRAND-CORENT;;189
01179;01;GRIEGES;;1933
01180;01;GRILLY;;860
01181;01;GROISSIAT;;1291
01183;01;GUEREINS;;1508
01184;01;HAUTECOURT-ROMANECHE;;789
01185;01;PLATEAU D'HAUTEVILLE;;5020
01187;01;HAUT VALROMEY;;639
01188;01;ILLIAT;;683
01189;01;INJOUX-GENISSIAT;;1141
01190;01;INNIMOND;;90
01191;01;IZENAVE;;158
01192;01;IZERNORE;01580;2338
01193;01;IZIEU;;229
01194;01;JASSANS-RIOTTIER;01480;6439
01195;01;JASSERON;;1837
01196;01;JAYAT;;1239
01197;01;JOURNANS;;364
01198;01;JOYEUX;;271
01199;01;JUJURIEUX;01640;2183
01200;01;LABALME;;219
01202;01;LAGNIEU;01150;7308
