id_vente;id_bien;Date mutation;Valeur fonciere
1;1;2020-02-03;56000
2;2;2020-01-02;165000
3;3;2020-01-08;720000
4;4;2020-01-06;429250
5;5;2020-01-07;220900
6;6;2020-01-21;42000
7;7;2020-01-07;262000
8;8;2020-01-08;190000
9;9;2020-01-16;563130
10;10;2020-01-17;535000
11;11;2020-01-16;330000
12;12;2020-01-27;110600
13;13;2020-01-30;50000
14;14;2020-01-09;212000
15;15;2020-01-15;160000
16;16;2020-01-20;561550
17;17;2020-01-28;358000
18;18;2020-01-22;220000
19;19;2020-01-27;79300
20;20;2020-01-06;285000
21;21;2020-01-27;123100
22;22;2020-01-16;107500
23;23;2020-01-30;128810
24;24;2020-02-05;31000
25;25;2020-01-21;125000
26;26;2020-01-31;285000
27;27;2020-02-03;140500
28;28;2020-01-27;101050
29;29;2020-01-31;530000
30;30;2020-01-29;486415
31;31;2020-01-28;185000
32;32;2020-01-16;131376
33;33;2020-01-23;155000
34;34;2020-01-31;150000
35;35;2020-02-03;67000
36;36;2020-01-13;114000
37;37;2020-02-07;143850
38;38;2020-01-23;237900
39;39;2020-01-24;425000
40;40;2020-02-06;220000
41;41;2020-02-07;55000
42;42;2020-02-07;164665
43;43;2020-02-10;89000
44;44;2020-02-06;475150
45;45;2020-02-12;132500
46;46;2020-02-05;68000
47;47;2020-01-30;570840
48;48;2020-02-03;135700
49;49;2020-02-05;62500
50;50;2020-02-03;332500
51;51;2020-02-07;428000
52;52;2020-01-28;210000
53;53;2020-02-12;50000
54;54;2020-01-28;592487
55;55;2020-02-10;295000
56;56;2020-02-12;133000
57;57;2020-01-29;580450
58;58;2020-02-20;105500
59;59;2020-02-04;152900
60;60;2020-02-05;352300
61;61;2020-02-17;215000
62;62;2020-02-14;128460
63;63;2020-02-14;90500
64;64;2020-02-11;305500
65;65;2020-02-18;430000
66;66;2020-02-04;152470
67;67;2020-02-13;55000
68;68;2020-02-18;465660,47
69;69;2020-02-12;167550
70;70;2020-02-11;212862
71;71;2020-02-19;54000
72;72;2020-02-14;390000
73;73;2020-02-24;160000
74;74;2020-02-25;156580
75;75;2020-02-18;129258
76;76;2020-02-28;210000
77;77;2020-02-17;189350
78;78;2020-02-21;310000
79;79;2020-02-25;435000
80;80;2020-02-20;505000
81;81;2020-02-25;442100
82;82;2020-02-17;506000
83;83;2020-02-12;292000
84;84;2020-03-03;200000
85;85;2020-02-27;315800
86;86;2020-02-28;167000
87;87;2020-02-25;640000
