Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20152017","2015-2017","%","127","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20162018","2016-2018","%","127","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20172019","2017-2019","%","130","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20152017","2015-2017","%","28","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","28","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20172019","2017-2019","%","29","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20152017","2015-2017","g/personne/jour","105.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","g/personne/jour","104","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","104","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20152017","2015-2017","g/personne/jour","69.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","g/personne/jour","67.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","65.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2018","2018","km","7.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2016","2016","I$","53847.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","55088.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","I$","56060.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20152017","2015-2017","%","8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20162018","2016-2018","%","8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20172019","2017-2019","%","8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.91","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","0.92","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.85","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6127","Valeur","21030","Variabilité de la production alimentaire par habitant ($I par personne constant 2014-16)","2016","2016","1000 I$","25","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6127","Valeur","21030","Variabilité de la production alimentaire par habitant ($I par personne constant 2014-16)","2017","2017","1000 I$","28.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6127","Valeur","21030","Variabilité de la production alimentaire par habitant ($I par personne constant 2014-16)","2018","2018","1000 I$","21.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21031","Variabilité des disponibilités alimentaires par habitant (Kcal/personne/jour)","2016","2016","Kcal/personne/jour","12","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21031","Variabilité des disponibilités alimentaires par habitant (Kcal/personne/jour)","2017","2017","Kcal/personne/jour","23","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21031","Variabilité des disponibilités alimentaires par habitant (Kcal/personne/jour)","2018","2018","Kcal/personne/jour","31","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2016","2016","Kcal/personne/jour","2578","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2017","2017","Kcal/personne/jour","2579","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","528","Pays-Bas (Royaume des)","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2018","2018","Kcal/personne/jour","2580","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20152017","2015-2017","%","108","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20162018","2016-2018","%","108","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20172019","2017-2019","%","107","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20152017","2015-2017","%","72","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","72","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20172019","2017-2019","%","71","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20152017","2015-2017","g/personne/jour","58.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20162018","2016-2018","g/personne/jour","58","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","g/personne/jour","57.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20152017","2015-2017","g/personne/jour","11.3","E","Valeur estimée",""
